PC1,PC2,Cluster
-1280.7981221992882,-5.163420065857386,1
-821.1318624897302,-1.164979042159585,1
-1190.354538463986,-8.930704434340466,1
-907.0464956421667,-4.478815763399789,1
-588.9067294000826,-4.7072991009350265,0
25.95378475090797,-17.144892016957225,0
-725.3653114769292,-14.029553157960327,1
-1070.9658655957592,-7.270733180790307,1
-592.8710494002534,-15.619291740947848,0
-959.8204101887908,-9.44221103423584,1
-758.3887101110225,-6.386851423933639,1
-1273.8581213926257,-8.296879468290758,1
-675.7965144038184,-10.99980633432004,0
-779.6984095539929,-4.970850222046394,1
-410.4654759101229,-5.197122022686347,0
-1163.8009464399058,-6.452266288451652,1
-131.0452406656093,2.328502883415372,0
-1125.690893848851,-1.2021148438952327,1
-1308.8318739211218,-6.613668348396805,1
-642.6871533842259,-5.00491209920839,0
-1300.7942977611308,-4.772400174326772,1
-1309.812130102161,-5.595298175157114,1
-1059.3014302919555,-7.498852425167467,1
1198.5016364433727,-29.668542704851767,2
-1304.8521925931566,-7.690752569214143,1
433.96991010678266,0.2718605438710462,2
-1221.2312883734955,-2.331370147133857,1
1012.9872897710512,-38.19686824103567,2
559.6236103201775,-27.166625777774776,2
-45.811543320350665,17.983750799922277,0
1017.6286757807302,-27.130504952841896,2
-1191.7369306778746,-2.90818883464539,1
923.965654029338,-0.2840968675199811,2
-802.346291215045,0.4682877632833122,1
-822.606867808608,-4.131692092954154,1
277.1426755852867,-8.65204450262996,0
-121.34335877032596,7.134984488820768,0
-845.8031067718398,-9.673513694057505,1
-343.51229366212544,-12.501978615470277,0
-104.50442554457504,26.79055023516844,0
-945.8239488736826,7.271219619488386,1
165.28237960277966,-19.45461175635627,0
2285.3223931938182,-50.92321086313045,2
-570.8948103791199,-17.048308489867892,0
-635.2464611786439,8.192056524573724,0
-512.7690296975766,-11.190362082928823,0
-886.5257598003986,-7.877885426442869,1
-259.5055119265403,18.03686225549089,0
1686.67599963167,4.751103777288881,2
1420.1278563499277,-14.017948097586885,2
3863.9719395337934,-92.78812050451673,3
-1323.8485600092647,-7.319314006483886,1
-1266.8008006312227,-5.437201770776332,1
-1315.850088723421,-7.4756696997745795,1
203.42906911940145,-16.203650450143865,0
-1290.8353165210635,-6.965616890425571,1
1438.259957685064,-54.342317876002994,2
-478.9192323521413,19.12422870314745,0
-1135.7672454745243,-5.00419124897687,1
-745.2908772840684,-3.645260657499025,1
-1323.8681134457809,-8.318175786124291,1
815.0758313405277,-19.759145352829712,2
-1207.400601105037,-2.601867133830704,1
-926.3769925245048,12.886372920017122,1
3896.455382798684,-46.04374355752866,3
-1104.2052128577548,6.371671971012583,1
-1249.8040512867249,-5.7695626979143375,1
235.70734594304557,-24.828862132363103,0
-1087.3155776096446,-7.948054147482825,1
-964.9962960406629,-1.3470396888793132,1
-1323.8681134457809,-8.318175786124291,1
-1024.1516968978924,-0.1923109745696631,1
-694.3417986490365,24.336435374068408,0
-1248.3043381041684,-5.798887463767248,1
-1170.877821263786,-10.310837245770308,1
-1111.4346119417664,2.346435503578917,1
2334.2645686215064,-62.87205172643623,2
-161.5122386737139,-27.05298555847159,0
-766.7684110596281,11.763430732146444,1
-1282.8368465121548,-7.122035551145642,1
-1023.6310090515396,-1.6653671263035443,1
1757.9977463510982,-16.30836278285245,2
-1254.5335893866018,-4.677825623139302,1
235.14878109120468,-27.81567973476129,0
-921.8081245365032,-9.186356866566625,1
-1323.8681134457809,-8.318175786124291,1
2000.494223220996,-39.35743569516706,2
2000.4363227628496,24.595331294330634,2
-1264.8207358675588,-6.475132802187769,1
-252.8221120334836,21.697212148000222,0
-583.8532171237238,-14.796396584345288,0
-417.7931056208503,12.932569716237667,0
-1323.8681134457809,-8.318175786124291,1
-697.6521967316256,-2.4813444012987524,0
-994.7492252772232,0.0402609503490083,1
-544.5746921225191,8.417300743974087,0
-300.7653752406959,-3.345524975382186,0
-1323.8681134457809,-8.318175786124291,1
-1096.3725166032243,-10.768664341334969,1
-567.3687938998041,-2.128600841276924,0
-450.92796911510777,-11.400519390606709,0
-1323.8485600092647,-7.319314006483886,1
-488.2963438530179,9.315159382397434,0
-1241.3252304983575,-6.934628023263201,1
-1310.8510450278463,-7.573434640428927,1
-1314.850279984306,-7.495222687905449,1
-1316.849897462536,-7.45611671164371,1
-1229.171098128896,0.8216319236695462,1
-970.107741273823,11.743116200693729,1
1988.5458328220088,-45.11923111045182,2
-1248.843349574225,-7.786847636248971,1
-1241.6687079205938,1.0660146419001784,1
247.8592647080732,-12.076334247879284,0
179.81845762523153,5.242230853328323,0
1581.8103557680038,-7.187481759497302,2
-1227.8669196813055,-9.196332655291087,1
419.8765431216282,-38.42304815657216,2
-1165.7810103280367,-5.414290141626557,1
70.93136397245576,10.36943819961,0
197.8942403434892,-14.762087492883817,0
-1167.819734679299,-7.372907724645629,1
-1082.9881767415393,-4.035708277342647,1
11.11963052979536,3.5430274106428303,0
1816.927784108592,3.2030562232489324,2
-1158.7627956518947,-4.55229568279258,1
-1141.844311751268,-8.882325683080161,1
-1147.7113428697787,2.226281469908521,1
-1006.9078352158084,-1.526608971106688,1
-1163.942298353064,-3.453928211610311,1
-1323.8681134457809,-8.318175786124291,1
-232.21937586733952,27.28758715430524,0
-572.8757356607781,0.9768212182003282,0
381.3937840083331,25.281936517623063,2
3711.302128328856,-31.84622615294864,3
-1046.147438390999,0.2400286067257635,1
-55.468581869680975,-25.129876971578128,0
60.82241213463431,12.56562410560795,0
-1271.8193968973796,-6.338254018781515,1
-647.680306410154,7.435982180347574,0
-1259.7630316567445,-3.57630116607771,1
-1323.8681134457809,-8.318175786124291,1
-997.2936852386912,-7.710151981002013,1
367.2555308261474,-17.409075036959244,0
-1323.8681134457809,-8.318175786124291,1
-867.3381523127734,-11.253022370379114,1
-916.7308670674382,-5.288673190280194,1
431.3899617158006,1.3215544775319792,2
-427.4402510395928,0.1288968038863309,0
-1047.352988812613,-1.7348823832278493,1
-694.0090712474673,-4.650329801968058,0
-1129.729235490049,-3.121616049996196,1
-877.4154513216008,10.852329769332988,1
654.5717442639568,16.94173884516342,2
